tick	obsLagLarvae	predLagLarvae	obsLagAdults	predLagAdults

4	0.00659867	1.5164e+20	0.00352941	4.95719e+37

6	0.00163848	10539.1	4.151e-05	4708.07

8	-0.00242195	1982.97	0.0130385	2580.03

10	0.00960814	849.063	0.00325135	1073.35

12	0.000267521	1196.07	0.0217137	1334.83

14	-0.00397908	1000.74	0.014534	900.292

16	0.0197659	1415.44	0.0241559	1415.87

18	0.0092101	1762.12	-0.00722988	1586.3

20	0.0054669	782.91	0.0133092	1308.52

22	-0.000150599	671.07	0.0168501	697.987

24	-0.0102049	729.48	0.00874357	819.003

26	0.0100676	556.425	0.0178253	680.329

28	-0.000909439	607.612	0.0178712	997.299

30	-0.00898849	493.138	0.0249684	691.852

32	-0.00972202	537.674	0.0469755	732.495

34	0.00180759	568.887	0.0379145	687.111

36	0.0127395	485.244	0.0208616	567.886

38	0.0173069	437.727	0.0221048	449.216

40	0.0348201	477.9	0.00492341	507.992

42	0.0389747	423.492	0.0130143	677.926

44	0.025211	364.952	-0.0126136	372.981

46	0.0279278	386.794	0.00535207	351.783

48	0.0279579	412.367	-0.00458226	438.982

50	0.0466563	315.538	0.0139554	367.239

52	0.0398089	407.87	-0.00127973	517.578

54	0.0369528	538.291	0.00776888	564.567

56	0.0273017	478.268	0.00583652	620.045

58	0.0302166	349.1	0.00320634	659.411

60	0.033577	443.268	0.0155313	612.817

62	0.00952915	353.283	0.0111163	610.638

64	0.0208123	353.914	0.0344239	623.208

66	0.0011251	376.632	0.0121712	694.942

68	0.0194649	349.227	0.023216	722.973

70	0.0508272	289.884	0.00169858	721.89

72	0.0626978	300.441	0.0193451	641.611

74	0.0432095	313.144	0.0130664	548.84

76	0.0584921	278.476	0.0315571	604.912

78	0.0481515	283.02	0.017172	572.151

80	0.0372578	328.275	0.0397204	482.225

82	0.0415866	310.853	0.0386328	496.922

84	0.0281782	254.325	0.0268338	520.133

86	0.0439756	241.344	0.0402084	428.88

88	-0.00330568	313.433	0.0465029	357.041

90	-0.00596278	296.632	0.0459774	417.516

92	-0.0233039	286.952	0.0493976	401.412

94	-0.0133716	350.7	0.053151	390.31

96	-0.0254599	275.821	0.0261764	462.9

98	0.00151581	245.484	0.0234364	450.221

100	-0.0597009	212.145	0.00479535	505.801

102	-0.0266203	327.341	0.017613	574.831

104	-0.0440705	330.197	0.0289892	678.617

106	-0.0356913	374.485	0.0243231	529.409

108	-0.0122135	367.543	0.00818223	552.715

110	0.0129969	359.527	0.0344435	541.271

112	-0.000256312	359.162	0.032583	811.964

114	0.00552438	299.465	0.0195333	520.442

116	-0.0134805	272.685	0.0188368	506.797

118	0.00976595	315.48	0.0114307	432.294

120	0.0202747	318.124	0.0269171	462.977

122	-0.0129876	264.875	0.0296207	422.007

124	-0.0265343	290.02	0.0355597	390.002

126	-0.0292286	220.05	0.0514003	394.883

128	0.0084642	198.913	0.0393908	276.463

130	-0.026503	227.681	0.0376535	305.92

132	0.0369756	161.155	0.0197204	385.488

134	0.00383987	253.923	0.0369268	305.1

136	0.0295832	187.473	0.0165196	449.264

138	0.0395339	243.28	0.0274824	355.474

140	0.0268471	221.523	0.00283372	302.131

142	0.0221123	182.07	0.0107214	229.143

144	0.0439075	175.058	0.00505869	330.638

146	-0.00494961	190.78	0.00370201	316.929

148	0.0318439	174.855	0.0254448	213.124

150	0.00178367	164.209	0.0129	216.691

152	0.00673649	214.968	-0.00526885	244.619

154	-0.0122908	268.806	-0.00271548	232.477

156	-0.0148363	191.377	0.0249958	238.708

158	0.0086972	228.3	0.0190551	269.451

160	-0.0100141	301.808	0.012621	355.57

162	-0.0168891	314.366	0.0224587	377.159

164	-0.0339397	391.79	0.0250804	288.251

166	-0.012227	462.298	0.00674966	381.137

168	-0.0397095	431.099	-0.00117457	345.73

170	-0.0245566	650.457	0.00754281	404.895

172	-0.0336197	612.143	0.00535914	402.951

174	-0.0397945	614.29	0.0229624	563.266

176	-0.0442042	597.605	0.0323323	372.709

178	-0.0570348	334.882	0.0279635	309.944

180	-0.050208	530.734	-0.0254683	407.646

182	-0.0400984	458.067	-0.0100273	345.055

184	-0.0494881	420.355	-0.0280396	438.2

186	-0.0602821	445.307	-0.0273523	401.43

188	-0.0615731	404.328	-0.0181567	463.46

190	-0.0785676	386.808	0.0208839	387.169

192	-0.092114	368.962	0.0382269	385.456

194	-0.0957901	554.776	0.0503703	715.912

196	-0.0853516	351.226	0.0447459	497.929

198	-0.0594907	440.018	0.0530996	404.691

200	-0.0616113	439.343	0.0238475	468.645

202	-0.0577021	460.62	0.0770082	471.05

204	-0.0670825	379.534	0.0333271	442.618

206	-0.0222177	526.167	0.0568372	453.548

208	-0.00664863	446.223	0.0291469	437.516

210	-0.0454195	459.281	0.0302887	499.646

212	-0.0145386	448.108	0.0391539	490.265

214	-0.0726687	508.256	0.0595487	544.531

216	-0.0302749	453.573	0.0242044	381.134

218	-0.0437833	472.433	0.0427779	494.454

220	-0.0591985	484.068	0.0120397	407.016

222	-0.0322476	478.12	0.0490612	432.74

224	-0.0479481	367.453	-0.0169974	276.556

226	-0.0431505	431.448	0.0475028	344.219

228	-0.037657	413.409	0.0151203	309.745

230	-0.0255512	476.145	0.0152298	286.741

232	-0.00775402	336.933	-0.00664767	267.359

234	-0.0351318	442.569	-0.0573421	255.494

236	-0.00781704	374.911	4.71678e-05	282.712

238	0.0127981	357.604	-0.015888	256.049

240	-0.025144	287.07	0.00810027	252.613

242	-0.0299245	337.782	-0.00743668	218.988

244	-0.0297798	328.053	-0.0132055	267.512

246	-0.0317887	326.15	-0.0339018	270.679

248	-0.00336835	319.481	-0.00910634	248.937

250	-0.0579129	272.746	-0.0481739	210.166

252	-0.000491383	368.315	0.00187773	289.079

254	-0.0591214	250.436	-0.00962764	263.202

256	-0.0583316	271.061	0.00544228	256.534

258	-0.0338225	273.346	0.0225438	230.8

260	-0.0333084	301.58	0.0245388	238.906

262	-0.0487375	304.208	-0.0150812	220.751

264	-0.0547674	238.467	0.00342675	185.32

266	-0.0291944	409.153	0.00220988	253.015

268	-0.0072184	421.97	-0.0238787	243.695

270	-0.0192495	420.925	-0.00686445	265.488

272	-0.00959171	286.313	0.0115141	229.549

274	-0.0218965	349.915	-0.0288185	209.116

276	-0.0267314	326.013	-0.00406354	201.044

278	0.0165229	294.456	-0.0103929	202.022

280	0.0113787	305.987	0.00310604	202.201

282	0.00922553	274.69	-0.0376471	206.683

284	-0.0231281	285.824	-0.00716543	184.367

286	0.0209819	258.127	-0.00601048	207.168

288	0.00228277	372.66	-0.00186857	213.637

290	-0.00463842	268.124	0.0210361	196.115

292	-0.0263253	289.775	-0.00482703	219.141

294	0.0151156	360.474	0.0311116	217.897

