tick	obsLagLarvae	predLagLarvae	obsLagAdults	predLagAdults

4	0.00307552	9.20857e+19	0.00352941	2.60689e+37

6	0.00793811	1000.41	0.00285948	8322.22

8	-0.0013614	1004.42	0.00665838	1725.45

10	0.0137717	419.456	0.00804772	860.661

12	0.00923048	703.422	0.0046892	2336.57

14	0.0197196	526.521	0.0123958	1320.91

16	0.0214043	780.343	0.00519389	1514.95

18	0.0283312	686.496	-0.0022975	1036.41

20	0.0183646	856.313	0.0151101	1058.96

22	0.0183618	573.684	0.00658549	814.708

24	0.0162371	532.211	0.00814742	613.849

26	0.00822753	414.125	-0.00606255	425.068

28	0.025564	437.315	0.0139254	442.014

30	0.00131345	262.944	-0.00643149	403.16

32	0.0476545	236.979	0.0052726	405.328

34	0.033124	223.164	0.00796373	389.427

36	0.0272929	283.637	0.00673687	340.401

38	0.0264156	250.064	-0.014202	289.72

40	0.0463656	202.157	-0.00160588	239.782

42	0.0473427	259.062	7.75358e-05	319.966

44	0.0328048	287.27	0.00280346	373.347

46	0.0396321	324.063	0.0253988	445.698

48	0.0339632	232.292	0.0287977	295.908

50	0.0372005	188.793	0.0283218	399.003

52	0.0226631	193.416	0.0536949	215.684

54	0.0548691	218.558	0.0244899	513.342

56	0.0387393	253.504	0.0221652	453.769

58	0.0841977	142.137	0.0389117	349.012

60	0.0491939	180.294	0.0344812	363.947

62	0.0463849	136.1	0.0280419	355.192

64	0.063098	154.256	0.0334503	275.14

66	0.0136357	182.779	0.0224589	515.02

68	0.0275258	204.665	0.0415964	383.453

70	0.0130869	175.375	0.0148189	381.296

72	0.000656871	272.083	0.0221376	316.607

74	0.00804918	206.892	0.00528277	588.506

76	-0.0285456	282.469	0.00919152	560.198

78	-0.0435184	280.093	0.013446	585.79

80	-0.0434266	333.639	0.0101524	467.438

82	-0.035822	462.177	0.0147802	765.874

84	-0.0486489	213.21	0.0256067	509.08

86	-0.0373673	323.92	0.0342064	407.446

88	-0.0371671	279.354	0.010355	520.064

90	-0.00532655	327.915	0.0192095	531.671

92	0.0314196	234.475	0.000424874	407.715

94	0.0180488	254.747	-0.000963185	305.494

96	-0.001772	206.361	0.00290782	392.649

98	0.0175207	183.602	-0.0039237	285.555

100	-0.0137411	128.991	-0.00385105	260.351

102	0.0168119	137.715	0.0131545	255.94

104	0.0497809	123.83	-0.0103388	224.934

106	0.0361961	171.094	-0.0133547	295.929

108	0.0484536	188.173	0.012967	317.481

110	0.0188181	262.759	0.00495025	437.999

112	0.0579961	171.334	0.00532656	293.247

114	-0.00979451	205.325	-0.00845519	323.92

116	0.0198523	188.89	0.00809701	225.947

118	0.0194976	202.195	0.00286091	282.094

120	0.00821242	203.217	-0.00225319	281.546

122	0.0173111	207.348	-0.0108721	323.868

124	-0.0103859	207.276	-0.00787147	299.082

126	-0.00337815	275.922	-0.016268	496.243

128	-0.0194991	172.008	-0.000765397	270.978

130	0.0212339	197.295	0.00167898	484.533

132	0.0130609	157.78	-0.0256754	279.685

134	0.0214843	186.44	-0.00941399	408.732

136	-0.0146375	168.078	-0.0150185	376.927

138	-0.00771987	169.355	-0.00738253	318.317

140	-0.0374478	180.892	-0.0158341	358.795

142	-0.0128713	219.227	-0.00949215	472.462

144	0.00258323	212.666	-0.00388015	348.029

146	0.0187294	206.379	-0.00826337	281.518

148	0.00251054	158.604	-0.0204121	287.703

150	0.0067642	185.832	-0.00170081	304.392

152	0.0142247	130.379	-0.0251708	283.057

154	0.00518002	137.073	-0.0254236	169.809

156	0.0197016	108.761	-0.0207374	160.796

158	0.00762558	190.116	-0.0120241	199.072

160	-0.0240828	171.432	-0.00211586	365.143

162	0.0133245	148.99	0.0113343	346.007

164	-0.015049	174.144	0.000682933	415.28

166	0.0164119	191.74	0.0152867	338.279

168	0.00127506	213.496	0.0120502	375.541

170	-0.0127785	163.098	-0.00473236	500.825

172	0.0151762	182.662	0.00819131	564.978

174	0.0338073	158.447	0.00394589	399.707

176	0.0835364	161.168	0.0155845	430.574

178	0.0402618	192.051	-0.00661269	345.276

180	0.0531869	192.597	-0.00242335	363.592

182	0.0322688	228.129	-0.00795248	379.911

184	0.0723964	164.346	0.00396513	450.517

186	0.0279338	171.852	-0.0110387	416.969

188	0.0306873	190.398	0.0102538	436.162

190	0.0185842	175.315	0.0172261	279.252

192	0.0316743	158.412	0.0126464	285.872

194	0.00442891	201.785	-0.0148655	231.613

196	0.0331727	152.226	-0.000691521	265.914

198	0.0263819	138.138	-0.0145996	284.388

200	0.00543651	176.443	-0.0298997	250.411

202	-0.0444489	225.179	0.000900394	316.504

204	-0.0110196	302.938	0.0158498	465.847

206	-0.0335871	260.42	0.00841966	334.607

208	-0.0456778	269.45	0.00692235	372.986

210	-0.0272514	345.304	0.00353816	595.213

212	-0.0235128	305.004	-0.0150948	467.379

214	-0.00760608	292.299	-0.013163	367.582

216	0.00463366	355.208	-0.0084133	546.421

218	0.0471106	232.273	0.00382151	545.076

220	0.0224124	260.028	-0.0119218	898.154

222	0.0240057	364.302	-0.0173505	620.762

224	0.0212292	280.092	-0.0118902	356.855

226	0.0141686	244.093	-3.44918e-05	385.487

228	0.00692746	299.81	-0.0164547	557.011

230	0.0199964	289.209	-0.00987659	529.097

232	0.0154566	188.863	-0.00485543	245.603

234	0.0390143	184.767	0.00247785	300.475

236	0.0423889	154.066	0.005559	209.416

238	0.0476241	172.225	-0.00838176	256.094

240	0.0166334	155.992	-0.00224826	199.242

242	0.0365008	142.634	-0.0176198	149.401

244	0.0353982	171.365	-0.016261	246.39

246	0.033578	165.415	0.00594449	266.501

248	0.0201128	166.969	0.00258068	224.637

250	0.0182898	136.359	-0.00886352	276.551

252	0.00676148	141.664	0.0275218	193.124

254	-0.00085639	188.698	0.0162372	255.5

256	0.023392	167.998	0.00280027	222.756

258	0.00670399	148.52	0.0172919	286.128

260	0.0474753	131.435	0.00536458	201.488

262	0.0206085	173.14	0.0178831	217.036

264	0.0424644	178.417	0.0224928	189.057

266	0.00782507	160.963	0.0375295	192.621

268	0.0323567	135.351	0.0560095	122.576

270	0.00609077	188.221	0.0554231	165.336

272	0.013913	146.078	0.036237	135.655

274	0.0164208	156.62	0.0509926	143.211

