tick	obsLagLarvae	predLagLarvae	obsLagAdults	predLagAdults

4	0.00506194	2.18231e+20	0.00352941	1.60073e+38

6	0.0132523	1735.91	0.00587532	1415.19

8	0.0122594	1337.51	0.00523146	1805.1

10	-0.00109568	663.514	-0.00505108	1529.18

12	0.00775717	531.434	0.00182473	995.867

14	0.00487146	517.925	-0.0100634	812.294

16	0.0207839	324.235	-0.00808239	807.31

18	0.0348422	424.909	-0.00492515	925.22

20	0.0233189	422.607	-0.0164702	466.064

22	0.05156	176.201	0.00565129	397.684

24	0.0319671	185.689	-0.0103319	221.115

26	0.0334929	196.314	-0.00160635	242.295

28	0.0205705	204.978	0.0049298	442.575

30	0.0251537	231.835	0.0166624	217.965

32	0.0390384	259.404	0.00490059	555.265

34	0.0324311	204.312	-0.00274638	257.033

36	0.0604239	111.098	0.0174873	194.179

38	0.0621552	134.497	0.00684965	254.735

40	0.0494251	132.918	-0.00523079	192.793

42	0.0542571	116.829	0.00773636	184.847

44	0.0725274	97.0904	0.0175974	197.37

46	0.0500156	146.379	0.00483827	213.373

48	0.0762052	162.457	0.00291608	379.775

50	0.0658648	122.474	-0.0138238	235.373

52	0.0779507	162.525	-0.0170029	262.901

54	0.0659738	194.017	0.00423868	417.758

56	0.050011	215.253	-0.00554764	261.117

58	0.0736129	178.695	-0.0061902	276.82

60	0.0796639	184.683	-0.0116792	222.088

62	0.0652942	180.862	-0.0187924	214.148

64	0.0801147	173.83	-0.0194225	188.771

66	0.096693	152.767	-0.0219844	207.297

68	0.131306	119.973	-0.0136167	173.91

70	0.0775975	113.945	-0.0197584	111.272

72	0.0944249	114.723	-0.0210855	119.278

74	0.102504	117.91	0.0176525	156.92

76	0.0919633	109.84	0.00207855	151.224

78	0.0667202	97.5315	0.0130494	126.401

80	0.0425504	100.299	-0.000286521	135.246

82	0.0399411	91.053	0.0503127	109.631

84	0.0526657	74.3857	0.0522685	106.416

86	0.0489781	78.8479	0.0501038	93.9179

88	0.0900675	67.8537	0.0400453	109.191

90	0.0528042	83.9102	0.0369226	124.369

92	0.119625	74.6004	0.00747408	87.5002

94	0.0594252	88.2847	0.00393315	117.776

96	0.0858002	87.5115	0.00412949	138.079

98	0.0538336	86.4802	0.0176889	140.633

100	0.062366	91.5221	0.0030163	101.959

102	0.0366894	67.3336	0.0377094	97.5448

104	0.0308555	59.5881	0.0111734	94.9808

106	0.0721062	73.1735	-0.0162711	72.1466

108	0.0752423	66.1287	0.00640192	86.693

110	0.127231	68.0784	-0.006576	82.4004

112	0.116015	68.5837	-0.0253344	83.8718

114	0.103574	73.2697	-0.00897588	81.7255

116	0.114826	68.3762	-0.0583655	93.6738

118	0.0920827	89.06	-0.0444547	77.8909

120	0.101938	105.169	-0.0369663	122.306

122	0.120952	121.916	-0.0871627	112.188

124	0.141206	89.4609	-0.0348607	102.199

126	0.102774	99.9624	-0.0743164	103.694

128	0.111231	92.9997	-0.0496836	94.9142

130	0.123885	85.7915	-0.00153177	82.2338

132	0.136012	70.543	-0.0277677	87.5844

134	0.144845	79.6503	-0.0339973	82.221

136	0.107174	71.6851	-0.0226647	80.3581

138	0.0921311	80.4659	-0.00665449	75.4191

140	0.130883	76.2876	0.0253417	75.2278

142	0.108829	80.4797	-0.00601292	68.1851

144	0.101183	73.7756	0.0267899	86.2391

146	0.11391	69.7411	0.0445025	73.8956

148	0.131308	81.597	0.0149263	95.6172

150	0.107482	78.564	0.0304059	87.7896

152	0.118244	54.9444	0.0088485	79.3815

154	0.126153	54.4779	-0.0157511	63.8621

156	0.101731	54.3406	-0.015599	92.6843

158	0.112069	60.5579	0.0195954	89.8441

160	0.107071	75.0574	0.0430982	87.7762

162	0.0861231	67.2595	0.0449757	104.092

164	0.101088	61.3666	0.0168372	94.124

166	0.114592	80.5349	0.0228322	90.8373

168	0.109206	63.3798	0.0274078	92.7945

170	0.108179	63.0032	0.0126957	95.99

172	0.107974	69.0491	0.0366085	81.8595

174	0.0929144	77.0955	0.0217299	86.464

176	0.10775	73.1547	0.0211435	104.404

178	0.100739	87.8977	-0.00442836	82.3715

180	0.0983623	73.9482	0.0206179	91.6707

182	0.0488174	73.4269	0.0271558	81.0354

184	0.0161496	63.4506	0.0377606	84.3943

186	0.0349461	57.8953	0.0638112	80.7611

188	0.0646934	48.6585	0.0657398	81.8429

190	0.02069	55.7421	0.0743495	82.2466

192	0.0643628	53.8136	0.0980979	85.9795

194	0.0456244	49.0133	0.0941027	106.106

196	0.0347618	58.0016	0.0746675	91.9444

198	0.0407379	48.8438	0.0741049	90.2584

200	0.051848	58.4553	0.0823471	91.7101

202	0.0288928	55.3402	0.0627847	91.8679

204	0.0495486	66.6472	0.0563993	95.8915

206	0.0198617	79.0476	0.0475725	125.965

208	0.0253601	77.8078	0.0494831	152.215

210	0.0187836	72.8127	0.0201254	134.351

212	0.034465	70.7011	0.0464394	98.695

214	0.0230275	69.7082	0.0303781	142.483

216	0.0852639	58.9179	0.0143578	126.071

218	0.0483982	59.9248	0.0263492	113.223

220	0.0581601	52.0663	0.0357849	117.125

222	0.0821095	57.0205	0.0317055	112.976

224	0.0574375	52.3144	0.0324446	96.5511

226	0.0348944	58.0037	0.0214472	116.83

228	0.0389115	78.8231	0.0216009	91.2761

230	0.0280953	94.1181	0.0175978	64.6915

