tick	obsLagLarvae	predLagLarvae	obsLagAdults	predLagAdults

4	0.0020741	1.35321e+19	0.00352941	9.14045e+36

6	0.00278399	110.091	0.0110554	111.364

8	0.000254156	72.7818	0.0204644	77.4029

10	0.0127358	92.3254	0.00160487	154.637

12	0.0101404	121.879	-0.00516147	285.814

14	0.0223486	118.179	-0.00201958	169.934

16	0.00902913	78.6071	-0.0113772	146.777

18	0.0031445	55.0703	0.000334792	68.2243

20	0.00370903	80.833	-0.00689699	87.0018

22	0.013258	50.6712	-0.00500538	67.4114

24	0.00298133	52.1646	-0.00254388	114.625

26	0.00279796	52.2594	0.00334188	40.2443

28	0.0117687	29.7473	0.00142802	43.5723

30	0.0102762	38.6532	2.82057e-05	42.9981

32	0.00470878	24.5939	-0.0129038	33.2788

34	-0.0215397	15.8366	0.00465236	27.9191

36	-0.0213561	14.5126	-0.00806198	56.3289

38	-0.0366169	19.7243	-0.00691178	57.6418

40	-0.00317588	30.7245	-0.00653046	56.7735

42	-0.0229273	23.8845	-0.0112804	47.9285

44	-0.0159428	21.5808	-0.0156329	47.6089

46	-0.0217753	25.5879	-0.0117009	43.3684

48	-0.0305199	21.7395	-0.00788369	41.4544

50	-0.0295864	18.322	-0.00896381	38.1269

52	0.0278537	23.1935	-0.0238272	28.8535

54	0.0354607	18.5871	-0.0276404	33.7286

56	0.0217591	17.0326	-0.0196334	22.6836

58	0.00102377	14.9136	-0.0358026	31.6455

60	0.0381076	19.607	-0.0251726	21.2644

62	0.0386502	11.8869	-0.0437488	23.4153

64	-0.00131516	9.63679	-0.0337012	17.0655

66	0.0107439	9.48625	-0.0357749	12.3501

68	-0.0575168	8.39175	-0.0360144	13.7703

70	-0.0413484	6.42401	-0.0358046	11.2335

72	-0.0177532	7.08405	-0.0478323	11.3433

74	-0.012649	5.80267	-0.0468547	11.6522

76	0.0164364	7.82009	-0.041547	12.5397

78	0.00991103	7.72344	-0.0300166	14.3487

80	0.0409473	7.92475	-0.0541132	13.9098

82	0.0259821	7.46963	-0.0692984	13.1376

84	0.0416485	5.76386	-0.0673533	10.4529

86	0.0517	7.44836	-0.0602488	10.3314

88	0.0591689	8.90298	-0.065424	15.3369

90	0.0238896	8.07146	-0.0352067	12.6833

92	0.0217427	7.16401	-0.05078	10.575

94	0.0574758	5.84406	-0.0281536	12.0439

96	0.068234	8.40768	-0.0217332	10.5789

98	0.0385874	7.10263	-0.0594555	12.4623

100	0.0412942	8.12109	-0.0321159	15.138

102	0.0301059	6.16193	-0.0368472	14.7017

104	0.0490596	6.34811	-0.0327682	13.3498

106	0.061739	7.5564	-0.0485363	15.7772

108	0.113334	7.76467	-0.05096	18.1905

110	0.0799025	7.8878	-0.0802904	19.2174

112	0.109877	8.14992	-0.065276	16.4409

114	0.0584736	8.22867	-0.0773029	16.3481

116	0.105007	10.6622	-0.0518408	23.9841

118	0.0565089	8.14975	-0.0641042	21.4088

120	0.0536769	10.2144	-0.0696135	22.3265

122	0.11247	10.7709	-0.0646172	24.7816

124	0.0476284	9.08756	-0.0645596	23.0964

126	0.115755	9.39351	-0.0701652	21.9731

128	0.0611079	7.15457	-0.0809441	15.8456

130	0.0666032	7.6875	-0.085334	18.2799

132	0.0513397	6.8513	-0.0554193	20.2979

134	0.0825406	9.08327	-0.0243032	25.5585

136	0.0834956	6.80177	-0.0519806	20.9214

138	0.0629833	8.12434	-0.0270905	21.0878

140	0.0828658	6.51098	-0.0210446	15.2201

142	0.107095	7.97042	-0.0473869	16.5062

144	0.0487427	8.72241	-0.0543654	16.6889

146	0.0932836	8.55713	-0.0528299	14.6194

148	0.0873537	10.46	-0.0568487	16.7596

150	0.108273	9.55928	-0.0464762	15.1221

152	0.0764257	9.60258	-0.0885774	16.5567

154	0.0475958	10.389	-0.0562369	13.3944

156	0.0907992	9.38142	-0.0664943	14.9997

158	0.0865732	10.5255	-0.0886624	14.8172

160	0.0863825	9.86635	-0.0886934	15.7213

162	0.0807281	11.2791	-0.116372	21.1114

164	0.0936314	9.36083	-0.0841181	15.7128

166	0.0682484	10.9014	-0.109188	16.2878

168	0.0383835	10.6686	-0.0935771	15.478

170	0.150876	7.94712	-0.0681659	10.8354

172	0.101584	8.65483	-0.11556	13.7932

174	0.0881079	8.99716	-0.0711917	10.296

176	0.0827604	9.74894	-0.0693342	15.15

178	0.0584076	11.203	-0.0737955	15.5251

180	0.0692751	9.10821	-0.020652	13.945

182	0.0272006	9.38314	-0.0505315	13.8451

184	0.0517413	10.137	-0.0434002	15.3689

186	0.0413442	10.1379	-0.0661515	12.9205

188	0.0446594	10.368	-0.0536199	13.7428

190	0.0777553	10.0707	-0.0681626	13.2802

192	0.0928117	9.6089	-0.10522	13.2661

194	0.093408	11.8347	-0.0971667	15.1271

196	0.104345	8.51982	-0.0880556	11.5811

198	0.0886909	8.66382	-0.116058	11.9491

200	0.133729	8.98655	-0.0985945	10.916

202	0.0399322	10.5901	-0.112596	13.4446

204	0.134678	10.2246	-0.0836699	14.0649

206	0.0775697	9.94351	-0.107565	11.3545

208	0.102153	10.0682	-0.101589	16.5082

210	0.113764	11.848	-0.0735829	12.7431

212	0.0725098	13.8787	-0.0906679	17.4203

214	0.0571755	10.3991	-0.0802791	13.1162

216	0.0331595	10.5378	-0.0876366	12.8241

218	0.0351991	12.0091	-0.0782571	13.0291

220	0.00700344	9.85385	-0.0820504	11.3082

222	0.0839314	10.6803	-0.108163	14.2788

224	0.0282047	11.3924	-0.116993	13.2367

226	0.0195292	8.72475	-0.108538	13.6692

228	0.0611909	9.26483	-0.145869	12.194

230	0.016698	9.48946	-0.118291	12.826

232	0.0513282	8.75318	-0.117126	12.1021

234	0.0259527	8.69618	-0.100324	12.4558

236	0.0016885	8.3592	-0.113703	10.9603

238	0.0276872	9.07985	-0.112598	12.6645

240	0.0591718	8.22913	-0.0928752	10.2208

242	0.068317	8.36887	-0.0936305	13.1702

244	0.0682649	8.09583	-0.0886509	14.758

246	0.0385458	11.753	-0.0771681	16.9214

248	0.0420335	12.0728	-0.0509718	15.711

250	0.031401	12.0066	-0.0415804	15.358

252	0.0227629	11.9948	-0.0461104	15.5952

254	0.0145799	10.3735	-0.0381818	14.2661

256	0.0368201	10.631	-0.0539084	12.899

258	0.0275611	11.3064	-0.0725075	14.7634

260	0.0380002	10.9649	-0.0427333	15.2769

262	0.0545209	10.1715	-0.0762896	14.6553

264	0.0488684	11.4876	-0.0683833	15.644

266	0.0457057	13.8114	-0.0904335	18.9559

