tick	obsLagLarvae	predLagLarvae	obsLagAdults	predLagAdults

4	0.00403409	3.16338e+19	0.00352941	9.72321e+36

6	-0.00638701	1329.21	-0.000293771	1875.44

8	0.0132495	2753.5	0.00230774	30579.6

10	0.00807209	539.941	0.00135819	862.552

12	0.00824955	1075.49	0.00078527	1201.73

14	0.026431	513.812	-0.0148543	707.482

16	0.0154275	469.692	-0.0136859	661.51

18	0.01794	369.561	-0.00311944	659.265

20	0.00980148	432.05	0.00402706	554.851

22	0.0117855	258.454	0.00462564	273.341

24	0.00935501	258.867	0.00895137	479.891

26	0.0047801	615.331	0.0109954	412.613

28	0.0125498	380.033	0.00208468	451.001

30	0.0112181	468.573	0.00596397	420.398

32	0.00228784	264.516	-0.00757378	225.341

34	0.00342714	294.2	0.00474847	215.956

36	0.0205395	201.473	0.00256253	178.339

38	0.0162766	261.685	-0.0109163	357.689

40	0.00501416	229.564	0.00190744	196.394

42	0.0122677	280.637	-0.00168781	282.179

44	0.0251805	183.793	-0.00920012	197.478

46	0.000361717	118.96	-0.0182076	160.72

48	0.00616561	123.381	-0.0237337	169.066

50	0.0118104	118.991	-0.00861439	140.538

52	0.0103649	147.321	-0.0140365	210.945

54	-0.00966991	117.404	0.0078203	143.987

56	0.0153005	177.68	0.0250848	152.945

58	-0.00626058	171.774	0.0223016	151.084

60	-0.0462115	129.012	0.0458549	138.094

62	-0.0667232	153.188	0.0654164	170.081

64	-0.0504974	131.917	0.051785	103.106

66	-0.0448431	153.411	0.0426023	126.356

68	-0.0272073	136.994	0.068216	120.406

70	-0.0139124	145.397	0.0230122	159.464

72	0.00493283	174.579	0.0237959	167.663

74	0.0239714	136.836	0.00645864	116.615

76	0.0292393	158.956	-0.00869614	119.479

78	0.0239803	135.955	0.0119991	156.381

80	-0.00954102	155.158	0.00765026	161.456

82	-0.0179558	187.891	0.00212512	224.441

84	0.0233351	158.517	0.0413824	160.338

86	0.0128716	153.795	0.0173011	170.193

88	0.00442237	138.193	0.0262091	170.53

90	0.0116207	107.12	0.0231735	159.72

92	0.00457497	188.031	0.042515	190.868

94	0.0179287	105.892	0.030842	148.846

96	0.0175553	102.869	0.0308013	127.966

98	0.0538785	79.292	0.00704201	119.651

100	0.0537841	62.0607	0.0243184	90.8987

102	0.0125961	81.9568	0.0112121	98.7015

104	0.0342903	79.7496	0.0282733	106.664

106	0.0124786	100.127	0.00894591	225.721

108	-0.012399	96.7425	0.0339493	117.969

110	0.0058773	123.616	0.0319883	141.185

112	-0.00811755	117.599	0.0237958	158.084

114	0.0272131	114.514	0.00756543	127.633

116	-0.00897197	92.5019	-0.00754144	141.961

118	0.00482865	83.3788	-0.00874124	116.817

120	-0.0189209	104.142	-0.0223404	95.5439

122	-0.0111438	78.0898	0.0111315	95.0084

124	0.02455	119.059	-0.029761	112.408

126	0.00337961	95.7201	-0.00352853	103.981

128	0.0399893	90.5697	-0.00288102	187.567

130	0.00503002	81.3707	-0.0255492	113.431

132	0.0484521	62.6814	-0.0167227	85.8668

134	0.0584613	78.4517	-0.0336765	100.758

136	0.064729	57.7746	-0.0389366	143.49

138	0.087982	65.8829	-0.039307	85.3211

140	0.0582498	59.856	-0.0588732	109.293

142	0.0945597	75.0285	-0.027762	103.639

144	0.0808322	71.7228	-0.0371971	112.953

146	0.0844544	80.5793	-0.0331546	91.4707

148	0.0898836	89.3623	-0.0204859	159.338

150	0.107321	90.2139	-0.0161868	143.298

152	0.131546	80.6541	-0.0205892	184.178

154	0.120582	56.5511	-0.0356571	136.807

156	0.141665	78.1106	-0.0332222	154.679

158	0.143642	97.7837	-0.0276188	166.006

160	0.134287	90.6813	-0.0174692	129.304

162	0.156564	91.8811	-0.00766186	148.872

164	0.103854	100.958	-0.0206145	157.776

166	0.1289	102.051	-0.00978076	254.454

168	0.10644	71.1367	-0.0100036	149.207

170	0.117198	92.5736	-0.00823431	160.085

172	0.121891	77.1843	0.00605965	115.65

174	0.12564	86.9191	0.00378818	172.663

176	0.115813	102.453	0.0142906	161.158

178	0.0905012	79.578	-0.00339759	89.653

180	0.107483	98.293	0.000964593	198.724

182	0.0913903	100.057	-0.00479699	112.166

184	0.106931	83.1807	-0.01135	153.082

186	0.10192	88.2213	0.0110713	109.986

188	0.100574	94.9681	0.0180084	133.32

190	0.0868135	109.872	0.0193835	122.783

192	0.0681594	133.395	0.00304597	153.492

194	0.0745199	82.5455	0.00773763	118.343

196	0.0678113	108.09	-0.00347317	152.199

198	0.0716498	93.5308	-0.00996402	103.654

200	0.0570402	91.5261	0.00719075	113.547

202	0.0997849	85.8808	-0.00572935	117.453

204	0.0985693	116.561	-0.0494722	104.485

206	0.0946236	104.668	-0.0294602	142.164

208	0.0537604	108.723	-0.0395055	151.676

210	0.0979237	93.1622	0.00252144	173.969

212	0.0622697	121.375	-0.0132204	195.718

214	0.0922661	115.91	-0.0113253	173.761

216	0.064569	84.4713	-0.0201241	150.62

218	0.0904979	117.122	-0.00907295	171.659

220	0.0624975	126.353	-0.0229385	244.194

222	0.0759378	131.669	-0.00883779	155.399

224	0.0888419	109.032	-0.000254973	171.238

226	0.0799643	88.778	-0.0210341	163.727

228	0.0632626	75.8615	-0.0127064	153.097

230	0.0630621	86.9602	-0.0295358	180.265

232	0.0651022	89.406	-0.0275265	150.195

234	0.0462334	82.617	-0.0191911	191.38

236	0.0402556	98.6676	-0.0298894	163.163

238	0.0628704	71.6872	-0.0316314	108.84

240	0.0585022	97.4007	-0.00605988	146.673

242	0.0822151	85.1682	-0.0190511	141.344

244	0.0613324	119.055	-0.0365885	178.102

246	0.0568933	101.535	-0.0225706	151.351

248	0.0453382	119.762	-0.0104309	171.159

250	0.0470553	109.233	-0.0108217	126.386

252	0.0571108	85.0661	-0.0105824	136.15

254	0.0521008	86.2137	-0.00523192	137.091

256	0.054925	102.294	-0.0258733	134.236

258	0.055187	72.8166	-0.0261443	120.096

260	0.0395661	82.9527	-0.0197147	115.286

262	0.0254658	63.2105	-0.0197057	118.788

264	0.072327	70.9473	-0.0079873	117.18

266	0.0539586	56.8381	-0.00579586	94.5585

268	0.0274794	64.4807	-0.0243536	91.5481

270	0.0142054	49.0965	-0.0485104	79.6151

272	-0.0387231	47.6485	-0.0317879	89.9656

274	-0.00767687	43.9727	-0.0298626	81.0019

276	-0.0151702	37.8435	-0.022006	89.5759

278	-0.00334275	34.4893	-0.00904488	72.9684

280	-0.0724135	31.135	-0.0019958	69.0605

282	-0.0237016	26.6293	-0.00308517	73.1937

284	-0.0336954	33.4212	0.0319766	102.322

286	-0.0230987	34.9922	-0.00204455	79.2207

288	0.0084469	21.5686	-0.0215458	62.6619

290	0.0387578	27.1484	0.0143244	66.5107

292	0.0312733	20.085	-0.0169997	44.2539

294	-0.00247409	27.3719	0.00732337	56.1032

296	-0.00101241	33.7483	-0.0134973	56.633

298	-0.0301448	27.0471	-0.022503	54.2246

300	-0.0356361	34.8614	-0.00325169	79.3832

302	-0.0065492	35.9962	-0.0144614	71.3704

304	-0.0121613	26.4632	-0.00519215	70.8855

306	-0.00525202	35.1343	-0.0120554	59.9452

308	-0.057726	32.9932	-0.0139827	64.3942

310	-0.0826067	34.2114	-0.00365004	53.1136

312	-0.142855	36.2964	-0.0196192	76.4539

314	-0.108528	40.4792	0.0102184	67.5874

316	-0.148608	34.4665	-0.00889064	69.7648

318	-0.141203	49.043	0.00128378	85.6738

320	-0.128662	45.8031	-0.00257308	89.4626

322	-0.0991755	47.9081	0.0231774	106.576

324	-0.138733	41.0834	0.0102489	99.1427

326	-0.133057	39.7108	0.02105	119.716

328	-0.161085	37.772	0.0113832	100.948

330	-0.14198	53.6305	0.0470798	150.703

332	-0.115932	45.5246	0.0292288	127.775

334	-0.153955	43.6811	0.0273993	106.249

336	-0.0611887	42.2662	0.0290207	97.5342

338	-0.11124	38.567	0.0126124	107.965

340	-0.0628083	48.9559	0.0379928	96.7268

342	-0.0985614	45.8028	0.0163624	110.307

344	-0.111169	57.2433	0.0304846	143.585

346	-0.0946379	46.0222	0.0243807	93.819

348	-0.0827053	54.6086	0.0238949	120.361

350	-0.111497	46.8385	0.0433635	88.7588

352	-0.0901545	38.8484	0.0145346	77.4774

354	-0.00347257	45.2326	-0.0176942	73.4545

356	-0.0131289	48.8792	-0.0548821	84.1436

358	0.0110795	55.1926	-0.0427562	96.4515

360	-0.0113682	50.0503	-0.0706165	78.8036

362	0.0188746	53.8432	-0.0518994	88.7295

364	0.0220555	53.0718	-0.0564915	61.2922

366	-0.00782306	47.2614	-0.0543284	76.1267

368	-0.00899013	53.0651	-0.0354438	73.5781

370	-0.0489442	41.033	-0.0404628	78.743

372	-0.0386045	51.4398	-0.0192388	70.3747

374	-0.0163745	48.5246	-0.0435249	80.2085

376	-0.0105052	50.557	-0.0241349	63.129

378	-0.050862	52.1825	-0.0178531	68.4683

380	-0.0211966	50.9818	-0.0305055	75.1316

382	-0.00640127	52.8347	-0.0334831	67.2415

384	-0.0387224	47.8146	-0.00217721	61.3873

386	-0.0346009	51.3633	-0.0529645	73.0971

