tick	obsLagLarvae	predLagLarvae	obsLagAdults	predLagAdults

4	0.000667486	-1.37552e+20	0.00352941	4.93878e+37

6	-0.002252	705.462	0.00143782	2017.78

8	0.00782856	732.492	0.00477649	5191.23

10	0.0128152	515.462	0.00709898	1791.0

12	0.0136698	233.119	0.00980792	1396.11

14	0.0100114	314.575	0.0246204	672.053

16	0.0148247	448.068	0.0116843	587.157

18	0.0101227	582.356	0.0232063	385.353

20	0.00805636	530.416	0.00216528	430.956

22	0.0129931	471.684	0.00623326	430.638

24	0.0197627	383.282	0.0231569	374.672

26	0.0209237	215.603	0.00999558	276.919

28	0.000753946	288.369	0.0291142	481.789

30	0.0113441	182.883	0.0181107	480.084

32	0.00397202	211.98	0.0227588	464.428

34	0.0135209	239.588	0.0274084	434.335

36	0.0232027	220.243	0.0354173	564.541

38	0.0172032	287.827	0.0358281	423.199

40	0.00663844	293.321	0.0452412	549.773

42	0.00119163	249.704	0.0311676	759.856

44	0.00539512	197.5	0.0405863	474.155

46	0.0184731	230.645	0.0160075	453.333

48	-0.00243311	94.0862	0.0179537	645.91

50	-0.0108414	141.568	0.0123605	677.351

52	0.0246427	142.814	0.0108238	623.935

54	0.0284814	197.868	0.0218381	782.04

56	0.0344408	399.53	0.0172137	480.388

58	0.0336514	188.485	0.0282243	604.543

60	0.0328999	364.264	0.0171537	754.602

62	0.0222793	363.554	0.0360189	504.087

64	0.0286593	309.015	0.0216654	759.332

66	0.0383092	216.406	0.017496	448.391

68	0.0430468	223.771	0.0291763	442.722

70	0.0510531	245.736	0.019398	745.998

72	0.0404228	410.46	0.0325412	353.474

74	0.0364549	279.131	0.0206167	515.562

76	0.0342831	237.631	0.0474122	377.354

78	0.0265048	288.259	0.0320466	235.044

80	0.0235512	158.595	0.0422303	368.479

82	-0.0021752	87.1882	0.0341476	294.993

84	0.00496942	171.682	0.0256592	174.352

86	0.0140396	174.582	0.0394293	237.741

88	0.0443026	186.647	0.0385739	150.283

90	0.0193252	185.67	0.0461386	299.19

92	0.013649	205.518	0.01164	249.78

94	0.00555562	147.22	0.0276571	216.357

96	0.00732154	218.07	0.0263321	94.5403

98	-0.000873115	-2.98948	0.0265252	723.267

100	0.00332763	240.329	0.0152518	782.604

102	0.0186369	147.084	0.0153357	631.57

104	0.010244	199.967	-0.00473037	306.013

106	0.010975	127.43	0.00152088	326.096

108	0.0132104	94.3822	0.000489682	249.7

110	0.0269504	159.224	0.0109452	162.511

112	0.00107837	100.02	0.0334027	181.79

114	0.028501	154.674	0.0295685	204.149

116	0.000359741	102.558	0.0408754	198.052

118	0.0388911	122.402	0.0230124	200.987

120	0.0242204	154.23	0.0209529	124.825

122	0.00758284	87.094	0.0047365	271.282

124	0.00929432	110.612	0.010543	235.941

126	0.0213493	181.632	0.0159986	172.87

128	0.00685929	132.214	0.0123605	203.013

130	0.0316322	145.905	0.0350023	201.308

132	0.0300453	124.021	0.0156405	169.804

134	0.0331255	73.04	0.0180044	320.779

136	0.00804719	97.0983	0.0215739	298.971

138	0.0468876	139.122	0.00387357	241.602

140	0.0242066	116.757	0.0229362	174.521

142	0.02909	150.096	0.0180824	339.638

144	0.0390758	179.974	0.00316464	234.692

146	0.0109124	178.36	0.0010739	199.397

148	0.0347886	195.839	0.0218438	181.971

150	0.0353488	154.697	0.0360732	259.442

152	0.0347858	221.552	0.0217893	213.458

154	0.0387637	218.181	0.0492729	273.505

156	0.0384945	136.447	0.0453517	234.298

158	0.0656211	186.608	0.0566076	247.557

160	0.0539987	165.9	0.0736418	408.853

162	0.0564476	183.78	0.0736438	229.995

164	0.062694	189.019	0.0547895	238.559

166	0.0774456	151.628	0.0707127	263.055

168	0.0475958	113.434	0.0633355	165.548

170	0.0751539	120.814	0.0928936	132.446

172	0.0415249	124.51	0.0768009	105.152

174	0.0208274	52.0244	0.043777	143.22

176	0.0291563	134.071	0.0538112	78.0285

178	0.00138988	110.721	0.0521012	81.9065

180	0.0172938	122.912	0.03849	59.2926

182	-0.037311	62.5667	0.030877	151.132

184	-0.0125695	87.594	-0.00810156	109.588

186	-0.0190733	93.5676	-0.0338704	74.2111

188	-0.0188725	71.9857	-0.00760787	95.9779

190	0.00599791	79.5465	-0.00122947	100.811

192	0.0486001	139.248	-0.00953515	128.204

194	0.0603253	109.055	-0.008027	159.932

196	0.0457648	138.605	-0.0202784	168.993

198	0.0449497	127.26	-0.0398951	154.213

200	0.0376253	145.893	-0.0326442	121.598

202	0.0156237	117.83	-0.0641067	94.1867

204	0.0360423	154.929	-0.0385171	141.19

206	0.0225649	79.2567	-0.0582639	124.092

208	0.0383745	63.4774	-0.0780452	99.4572

210	-0.0121135	58.576	-0.0949132	70.9634

212	0.0169175	51.5062	-0.0545364	94.6637

214	0.0419009	43.8845	-0.0290462	111.361

216	0.011428	43.0541	-0.0234986	101.004

218	0.00901131	48.4511	-0.00531871	121.313

220	0.0413712	36.964	-0.00950129	133.333

222	-0.0359093	43.5129	-0.0205731	139.59

224	0.0231177	57.0807	0.0155255	142.989

226	0.00593944	73.7143	-0.0313102	141.149

228	-0.013943	56.0961	-0.0112142	113.443

230	-0.0315337	72.7002	0.0241501	135.651

232	-0.0207267	45.0285	0.00341536	195.943

234	-0.0376873	44.2783	0.0122512	142.711

236	-0.0626321	51.0478	0.0425487	117.412

238	-0.0776025	44.0011	0.0138586	161.939

240	0.00747194	42.2426	0.0556352	145.081

242	-0.0217044	38.7789	0.0630587	154.078

244	-0.0572724	51.7972	0.0160456	144.274

246	-0.0179912	42.803	0.0195285	175.002

248	-0.0193145	59.9509	0.0335444	171.455

250	-0.0314751	42.6068	0.0211306	214.019

252	-0.0414077	64.4847	0.0337874	163.942

254	-0.0167106	72.1222	0.0436655	169.2

256	-0.0450951	58.5915	0.0370148	152.661

258	0.0221051	64.2106	0.0205697	139.542

260	-0.0254895	52.1305	0.0438606	124.674

262	-0.0532005	44.6212	0.040747	132.392

264	-0.00910705	72.0901	0.0267719	126.341

266	-0.0660955	61.3588	0.0795942	106.878

268	-0.0772111	70.2646	0.069079	109.527

270	-0.0697422	65.2314	0.0663673	140.121

272	-0.0678899	80.4043	0.0886022	131.152

274	-0.122165	80.3939	0.105938	143.479

276	-0.0850218	78.6121	0.0828664	138.118

278	-0.0915233	88.6698	0.0626224	165.962

280	-0.0647373	73.2333	0.0924902	164.486

282	-0.0799322	77.1614	0.0819576	142.353

284	-0.0655817	93.4483	0.0649755	142.657

286	-0.0553502	112.336	0.0519645	165.89

288	-0.085795	82.5322	0.0896711	140.372

290	-0.0838204	98.684	0.0429028	136.118

292	-0.058133	108.187	0.0450359	136.309

294	-0.0921627	80.0906	0.0635267	157.159

296	-0.0823305	64.0067	0.0525302	139.467

298	-0.0955034	70.9763	0.0709535	118.308

300	-0.0235419	73.5142	0.0868186	125.629

302	-0.0927946	101.102	0.131334	155.621

304	-0.0587334	116.866	0.113137	127.88

306	-0.0974971	126.064	0.1141	152.187

308	-0.0763787	133.319	0.118114	161.603

310	-0.0432588	110.742	0.079184	134.155

312	-0.0450382	126.297	0.0842629	123.232

314	-0.0336829	121.192	0.101309	157.452

316	-0.0456825	132.749	0.0774847	166.054

318	-0.0392083	102.237	0.110822	139.736

320	-0.023477	116.708	0.0842558	138.824

322	-0.0544857	157.499	0.0575334	145.012

324	-0.0398113	118.658	0.108705	128.891

326	-0.00775991	98.0699	0.093004	177.054

328	-0.0183213	147.968	0.115661	144.463

330	0.0194847	89.5238	0.105224	161.269

332	-0.0388552	134.96	0.140414	120.857

334	0.0294724	112.231	0.122473	176.951

336	0.00557347	115.6	0.180777	155.821

338	-0.00788326	100.525	0.163914	151.888

340	-0.0110489	93.938	0.154712	157.508

342	0.00428805	98.4612	0.158499	162.464

344	-0.0137864	115.438	0.131507	141.084

346	-1.0829e-05	120.527	0.160617	158.001

348	0.0165081	97.259	0.140071	144.314

350	0.0381513	111.267	0.136411	159.874

352	0.0171525	80.7234	0.150005	147.955

354	0.0163633	86.6229	0.141012	149.163

356	0.0307148	105.063	0.150546	94.8261

358	-0.0203825	82.2576	0.129253	124.119

360	-0.0412946	102.334	0.13045	127.666

362	-0.062884	154.486	0.133494	120.126

364	-0.0629856	84.8273	0.103472	124.061

366	-0.0751423	69.5246	0.0981572	117.905

368	-0.0807933	85.0995	0.0702188	83.2078

370	-0.0476645	58.0951	0.110625	113.572

372	-0.0943453	62.0475	0.069577	81.2427

374	-0.115134	53.6232	0.0916219	76.9676

376	-0.0686786	79.614	0.0951134	74.7432

378	-0.0830406	67.0696	0.0501788	88.992

380	-0.0730559	88.3891	0.0672321	91.0745

382	-0.0985875	71.1416	0.0863018	122.91

384	-0.104834	116.235	0.0587497	151.29

386	-0.0984369	80.7333	0.0744674	188.95

388	-0.0889623	138.012	0.0556172	150.183

390	-0.0355012	80.5874	0.0707199	168.135

392	-0.0809369	100.107	0.0742074	138.686

394	-0.105139	93.6147	0.114014	167.327

396	-0.112016	99.7785	0.115147	155.881

398	-0.114605	84.2318	0.109245	154.554

400	-0.0851594	90.3248	0.0961978	170.614

402	-0.114344	81.7502	0.100547	195.639

404	-0.112332	89.5594	0.0877361	249.661

406	-0.154285	72.6057	0.063113	243.44

