tick	obsLagLarvae	predLagLarvae	obsLagAdults	predLagAdults

4	0.00520657	-1.06233e+21	0.00352941	6.25389e+38

6	0.00331264	4549.37	0.00201221	3485.33

8	0.00446242	-2581.09	0.00396126	43852.0

10	0.0106625	25.0111	0.00151663	2034.43

12	0.0227081	218.112	-0.00887786	661.255

14	-0.00452669	145.062	0.00435504	865.976

16	0.0153369	591.599	0.00511595	1489.11

18	0.0200832	692.559	0.00162069	1053.62

20	0.0230676	-410.241	0.00475269	5835.82

22	0.0376473	37.7317	0.00293212	1991.59

24	0.0270899	-186.755	0.00975974	2151.33

26	0.013347	885.166	0.0194534	507.628

28	0.0264162	244.327	0.0115015	966.458

30	0.0290768	611.395	0.00718559	886.955

32	0.0471432	259.146	0.0157356	782.38

34	0.0708573	162.291	0.0168026	559.874

36	0.0429524	182.57	-0.00528744	506.906

38	0.0343337	229.967	0.0174738	179.599

40	0.0545634	103.92	0.00558	448.315

42	0.0304723	367.253	0.0213388	151.059

44	0.0389241	140.639	0.0121235	622.909

46	0.0287972	174.112	0.0197721	277.46

48	0.0355797	61.9306	0.0133787	314.596

50	0.0507511	143.353	0.0298448	202.697

52	0.0420603	54.3715	0.0467033	203.772

54	0.0647009	60.3008	0.0188423	212.547

56	0.0447097	-45.6454	0.0296712	363.738

58	0.0234033	43.6927	0.037588	166.417

60	0.0365546	9.58722	0.00625644	259.807

62	0.0108135	63.6551	-0.0130632	174.154

64	0.00542081	1.956	0.00779949	261.829

66	0.00693472	93.0432	0.00198039	119.664

68	-0.0354376	19.2271	0.00493632	239.918

70	-0.0304297	86.2928	0.00359827	180.132

72	-0.0488124	40.8643	0.0158581	241.911

74	-0.0109946	77.5448	-0.00113739	265.877

76	-0.0127036	51.6	-0.00319853	266.692

78	-0.0509428	74.8907	0.00651489	260.331

80	0.0222948	159.206	-0.0316008	250.508

82	-0.0181909	52.1338	0.014012	245.144

84	0.0288753	122.555	-0.0201038	240.727

86	-0.0101251	137.494	-0.00251809	211.702

88	-0.0110415	168.452	-0.00959144	238.675

90	-0.00543722	103.067	0.00182625	185.556

92	-0.0354907	89.2581	0.0296499	161.107

94	-0.0372431	49.1692	0.011021	161.04

96	-0.0260044	43.4711	-0.022723	290.973

98	-0.0494043	31.5873	-0.0252754	279.512

100	-0.0354742	27.0826	-0.0170392	327.908

102	-0.0874948	37.2316	0.000654039	198.291

104	-0.0409935	66.4017	-0.00631172	208.825

106	-0.0263044	65.178	-0.0170522	300.356

108	-0.0537583	86.3619	-0.0178799	257.948

110	-0.0381106	87.2451	-0.00888699	279.11

112	-0.0738882	85.5391	-0.0319324	185.829

114	-0.0684756	100.741	-0.0309386	205.416

116	-0.0342457	58.7193	-0.0670338	192.332

118	-0.0473555	72.0376	-0.0404445	345.654

120	-0.0556764	70.0143	-0.038113	255.17

122	-0.0383994	75.4648	-0.0402898	352.742

124	-0.0289865	82.016	-0.0319914	384.794

126	-0.0617526	117.58	-0.0476028	316.367

128	-0.068817	38.3741	-0.0548145	388.224

130	-0.0599507	242.097	-0.0692549	165.437

132	-0.0513512	98.1982	-0.0559574	336.616

134	-0.0402332	124.975	-0.0491179	256.575

136	-0.0841559	128.444	-0.0223875	274.437

138	-0.042854	82.0086	-0.0205058	354.074

140	-0.0577506	149.134	-0.0158808	320.245

142	-0.0332037	105.358	-0.017861	389.06

144	-0.0389625	172.4	0.00710258	232.889

146	-0.0309171	263.403	-0.00657594	285.921

148	-0.0292907	127.313	-0.00622976	197.184

150	-0.00939678	175.7	-0.00311673	190.61

152	-0.022579	144.145	-0.0116599	222.33

154	-0.029794	114.832	-0.00353724	280.176

156	-0.0301078	104.876	-0.00935653	287.714

158	-0.0247345	62.1844	0.00578071	338.967

160	0.0240325	73.8918	-0.00965656	292.343

162	0.0193002	95.6951	-0.00128339	411.331

164	0.0514312	111.331	0.00182457	456.443

166	0.0432039	62.8055	0.00502248	406.94

168	0.0550835	46.3188	0.0183427	357.313

170	0.0662586	72.7071	0.0139852	222.014

172	0.0607656	-16.9486	0.00452492	464.311

174	0.0942235	75.1587	0.0319712	153.676

176	0.0814472	75.9222	0.00188908	232.815

178	0.0875762	69.8233	0.00950295	245.899

180	0.0433198	99.1105	0.0146237	308.003

182	0.0466423	130.125	-0.0114003	308.377

184	0.0569017	100.61	0.0103805	329.976

186	0.0246579	119.758	0.0205265	219.702

188	0.0101225	124.784	0.0182163	252.988

190	0.0144258	114.157	0.0259309	306.999

192	0.0167221	209.594	0.018033	262.053

194	0.0172951	140.905	0.0243627	463.835

196	-0.00679885	139.383	0.0263966	450.575

198	-0.0149157	178.391	0.0216997	389.627

200	-0.0262723	181.954	0.00355513	453.349

202	-0.0372666	171.468	0.00979156	332.438

204	-0.0408244	138.755	0.000303922	388.673

206	-0.0502866	175.683	-0.0290403	261.625

208	-0.0638761	168.576	0.000900412	353.332

210	-0.0915233	103.068	-0.0203146	243.44

212	-0.0671557	129.278	-0.0390521	192.788

214	-0.0697142	155.643	-0.0303276	191.72

216	-0.0558835	137.388	-0.0201523	177.286

218	-0.0435144	95.1889	0.00488694	226.857

220	-0.0528919	77.0025	0.00257599	193.42

222	-0.0670778	117.396	-0.0189055	202.437

224	-0.0173279	153.899	-0.0157037	208.6

226	-0.055826	115.588	0.014043	236.899

228	-0.0610565	128.548	0.00883376	218.431

230	-0.038291	117.975	0.00704061	219.684

232	-0.0796807	86.5539	0.0130513	247.331

234	-0.0690368	78.0332	0.000579181	276.68

236	-0.0863441	76.0235	0.034556	169.736

238	-0.0791797	75.241	0.0260848	180.925

240	-0.0340958	92.4189	0.0594783	163.685

242	-0.0592837	122.83	0.047532	176.06

244	-0.0234401	126.635	0.0474637	136.422

246	-0.0370373	136.353	0.0424053	165.666

248	-0.0134751	167.217	0.0304325	142.689

250	-0.0321551	126.735	0.0221324	163.441

252	-0.00763254	158.373	0.0155262	115.984

254	0.0463683	106.774	0.0203945	197.249

256	0.0501216	160.582	0.0122544	162.582

258	0.0770208	137.452	0.0178584	177.041

260	0.0878227	163.498	-0.0144894	207.643

262	0.0431461	155.613	-0.0198592	170.441

264	0.0512018	150.075	-0.0159203	234.497

266	0.0171648	131.376	-0.0210522	170.383

268	0.0423334	96.9623	-0.00834108	227.444

270	0.0447179	47.017	0.00175568	325.759

272	0.0263533	100.378	-0.0194795	191.3

274	0.0380547	115.786	-0.0258385	227.398

276	0.0101373	84.3226	-0.0253033	219.582

278	0.0380893	86.7724	-0.0370083	216.278

280	-0.0040439	75.0488	-0.0083751	196.784

282	0.00205923	69.3025	-0.0623409	143.287

284	-0.0152007	62.6473	-0.0535914	214.628

286	-0.00586317	67.6441	-0.0307306	174.903

288	-0.0248994	74.0394	-0.0459877	148.561

290	-0.0293911	41.067	-0.0614215	188.078

292	-0.0395834	86.6735	-0.0572814	185.133

294	-0.0475304	86.0794	-0.0581723	141.501

296	-0.0519744	104.195	-0.051041	220.726

298	-0.0144718	126.571	-0.0173241	202.366

300	0.00956244	138.799	-0.0288434	234.31

302	-0.0025289	136.64	-0.000239922	334.016

304	-0.00777506	135.703	-0.0127883	277.794

306	0.0171357	85.0304	-0.0168282	226.923

308	0.0175668	91.7339	-0.0116371	237.597

310	-0.0190086	115.906	-0.00145691	180.53

312	-0.0317109	78.7584	-0.0257105	161.542

314	-0.00934365	67.2566	0.0290032	148.346

316	-0.00964345	55.3597	0.00699637	180.516

318	-0.00611479	84.0218	0.00700521	124.813

320	-0.00688229	93.3101	0.000683509	135.614

322	0.00058447	64.0969	0.00118002	185.526

324	0.00622105	82.1154	-0.0154974	173.491

326	0.0245105	44.4849	0.00453447	223.261

328	0.029834	78.2589	-0.00410759	173.443

330	0.0964676	36.6652	-0.00283702	190.595

332	0.0530087	52.5149	0.018928	153.903

334	0.0615392	43.9944	0.0201919	180.991

336	0.0510991	70.2916	0.0202706	154.947

338	0.129974	5.1342	0.0484462	165.42

340	0.125967	17.8902	0.101642	141.621

342	0.0861732	43.9197	0.0815929	107.955

344	0.0602213	66.0605	0.0592232	103.38

346	0.0573216	87.7532	0.0747818	83.2621

348	0.0411743	53.6698	0.0632388	124.981

350	0.0561517	67.8415	0.00685399	103.633

352	0.0157322	75.3329	0.0164925	125.631

354	0.00271724	88.9898	0.0111715	111.977

356	-0.00181201	76.3447	0.0308065	98.5034

358	0.00588911	61.3355	-0.00148588	155.792

360	-0.00321585	38.1967	-0.00815699	175.659

362	-0.0214951	15.623	0.00504772	256.421

364	0.0181139	47.019	-0.00570838	160.699

366	0.00448131	68.2875	-0.0196332	171.968

368	0.00232918	56.7724	-0.0345148	223.29

370	0.0238489	32.409	-0.027049	252.689

372	-0.000146088	63.6961	-0.00842039	180.278

374	-0.0172951	61.1611	-0.0228797	217.006

376	0.0376968	48.4942	0.0139253	186.104

378	0.0370323	25.1802	0.00455999	197.683

380	0.0045938	1.3129	0.0163643	226.214

382	0.00841877	45.9496	0.0101356	109.35

384	0.0203125	18.2258	0.0186321	141.07

386	-0.0223527	43.3714	0.0124117	151.943

388	-0.0656562	40.0341	0.0149453	185.721

390	-0.0785986	68.884	0.0210916	139.559

392	-0.0879393	49.6829	0.0503951	133.536

394	-0.0550691	43.8748	0.0175294	146.092

396	-0.0630729	52.9339	0.000225888	138.218

398	-0.00857577	46.181	-0.0056091	132.689

400	-0.0522106	62.6833	0.0217322	109.119

402	-0.0281783	61.3104	-0.0185383	129.15

404	-0.0793721	50.8041	-0.00156122	200.428

406	-0.0433549	76.5095	-0.0133149	141.717

408	-0.0862521	78.6224	-0.00224345	151.472

410	-0.0139871	101.147	-0.0361892	115.535

412	-0.0695701	61.6302	0.0469673	145.785

414	-0.032457	98.8912	0.0138285	162.052

416	0.0109576	78.7657	0.015819	142.039

418	0.0234358	60.2314	0.0165283	226.0

420	0.0141926	133.201	-0.00196565	125.877

422	-0.0240942	41.8378	0.0136718	213.22

424	-0.00225818	48.1105	0.0172747	181.949

426	0.000637166	40.4914	-0.00554	171.249

428	-0.0132033	68.1247	0.00658719	188.077

430	-0.0307612	100.773	-0.00600664	208.05

432	-0.022579	70.7963	0.00852952	166.196

434	-0.0418337	131.24	0.0108118	144.495

436	-0.00818001	40.2759	0.00328725	249.085

438	-0.0421259	62.58	0.00505392	140.297

440	-0.0292027	75.0689	-0.00251704	138.588

442	-0.0518528	86.2667	-0.00489277	171.796

444	-0.0451955	24.4165	-0.0182863	527.486

446	-0.0129079	86.0973	-0.0219252	262.112

448	-0.0863133	56.8141	-0.0309468	233.518

450	-0.0496879	75.5314	-0.0202549	266.824

452	0.00165688	48.0711	-0.0259148	236.659

454	-0.00871175	105.284	0.00341591	212.922

456	0.0100611	79.4468	-0.0100583	314.909

458	0.0565915	66.7014	-0.00405991	264.845

460	0.0502826	60.4821	0.00588439	302.236

462	0.0302284	70.2384	0.00502952	260.035

464	0.0323282	88.4117	0.010711	207.357

466	0.0189564	64.9256	0.0205421	276.272

468	0.058956	67.5931	-0.00285973	190.357

470	0.0397746	80.963	0.00540205	135.559

472	0.0532285	56.9407	-0.000525878	156.173

474	0.0652048	79.8233	0.00987507	157.54

476	0.0369919	64.5196	-0.0224262	148.56

478	0.00666645	92.8263	-0.022897	162.369

480	0.012166	90.4348	-0.00918621	159.74

482	-0.0179872	141.322	-0.0184345	171.952

484	-0.00574094	108.569	-0.0130657	179.252

486	0.00774969	129.322	-0.0286421	132.467

488	-0.0177503	92.9171	-0.0183289	188.839

490	-0.00421785	93.9164	-0.035156	249.088

492	-0.00605553	106.385	-0.0173031	204.229

494	0.0385675	85.5822	0.0115386	264.882

496	0.00331144	87.7738	0.0249255	319.667

498	-0.00559057	95.3364	0.0343198	236.166

500	0.0327295	99.616	-0.00252561	246.764

502	0.0160478	102.556	0.0423802	229.534

504	0.00795815	110.117	0.037118	306.96

506	-0.0145214	89.3265	0.0533857	287.929

508	0.0224521	81.7442	0.05003	261.685

510	-0.000625542	61.784	0.0309307	297.728

512	-0.00104444	86.1971	0.0455482	238.814

514	-0.0295847	79.412	0.0387206	224.351

516	-0.0204549	79.7114	0.0189749	246.33

518	0.0214928	75.6818	0.0258467	274.039

520	-0.0205582	69.2792	0.0346766	326.869

522	-0.0195162	68.2102	0.0274817	235.532

524	0.0177646	108.064	0.0455163	256.267

526	-0.0179908	43.6569	0.0415516	287.723

528	-0.0222582	36.2194	0.0203415	306.021

530	-0.0244316	116.458	0.0401859	226.282

532	-0.0372543	68.8678	0.0320537	172.694

534	-0.00928082	72.3138	0.0275057	267.51

536	0.00784499	31.8979	0.0248053	304.468

538	-0.0248411	35.8859	0.0274121	330.816

540	0.0375372	35.9931	0.0129932	373.38

542	0.0346775	69.4551	0.0309033	302.328

544	0.0149102	21.0039	0.0258327	343.359

546	0.0383865	31.725	0.043556	355.809

548	0.00585339	-5.62566	0.00827713	658.351

