tick	obsLagLarvae	predLagLarvae	obsLagAdults	predLagAdults

4	0.00145159	-5.79555e+18	0.00352941	6.21125e+35

6	0.00174122	35.5952	0.00697582	166.039

8	0.00095771	67.1297	0.00969521	48.346

10	-0.00489841	35.377	0.00838579	48.481

12	-0.000316902	30.8618	0.00874188	43.225

14	0.00817882	38.1859	0.0149534	27.1411

16	0.00867357	35.8345	0.026941	10.9461

18	0.00470752	31.4663	0.00977751	24.6605

20	0.0049885	20.1318	0.00935466	18.9615

22	0.0059753	20.1059	0.00419424	15.9026

24	-0.00277506	19.7582	0.0119912	9.8527

26	-0.00296228	15.0787	0.0178981	12.2648

28	-0.00642346	13.698	0.0180472	14.3208

30	0.00605779	15.2914	0.0404385	10.3514

32	-0.00774451	14.6732	0.0404005	11.1426

34	0.00061934	14.4851	0.0379556	9.56544

36	-0.00977563	16.6571	0.051435	6.88758

38	-0.019551	12.6609	0.0391808	10.4937

40	-0.0212281	14.7824	0.0350451	9.53004

42	-0.0163241	18.0631	0.0150291	12.6103

44	-0.0248257	12.9528	0.0234485	11.3067

46	-0.0164698	14.7817	0.0376927	7.73646

48	-0.0160003	11.94	0.0246883	14.083

50	-0.0175675	11.6164	0.0305729	10.6035

52	-0.0365314	12.5793	0.0206494	10.9939

54	-0.0170616	10.1024	0.0120434	10.2907

56	-0.0460545	12.0377	0.03293	8.59444

58	-0.0229829	9.93143	0.00560972	7.18265

60	-0.0316593	8.41768	0.0129595	11.084

62	-0.0308189	8.98499	-0.0027941	9.54801

64	-0.0428366	7.31116	0.00279261	10.202

66	-0.0314018	8.89007	0.022788	7.22597

68	-0.058511	7.24011	-0.00829279	9.82358

70	-0.0468515	7.12702	0.017353	8.00226

72	-0.056164	5.63431	0.00950507	9.05763

74	-0.0472591	5.12466	-0.00205781	9.18338

76	-0.0708907	6.35635	-0.00862136	8.05578

78	-0.037905	6.07007	0.00234966	10.0103

80	-0.0396411	6.86942	0.0101857	6.62907

82	-0.0314155	6.26222	-0.00323075	8.03393

84	-0.0291275	5.21957	0.0171439	8.34617

86	-0.0085177	8.05333	0.00154892	5.4217

88	-0.0267564	7.25931	-0.00566054	8.67387

90	-0.0156026	6.41495	0.0143874	8.71871

