tick	obsLagLarvae	predLagLarvae	obsLagAdults	predLagAdults

4	0.0048479	-5.77587e+19	0.00352941	7.75162e+36

6	0.00536856	1221.69	0.00620027	1084.98

8	0.00370366	489.349	-4.30544e-06	716.096

10	0.00997046	347.555	0.00415885	1136.76

12	0.0026668	567.773	-0.0028607	207.377

14	0.00440975	398.374	-0.00173845	228.856

16	0.0114212	238.944	-0.00401035	261.922

18	0.00730444	367.862	-0.0102862	128.618

20	-0.00152809	195.9	-0.0115617	369.714

22	-0.0165353	326.293	-0.0187641	88.9445

24	-0.00637993	309.389	-0.0277405	150.621

26	-0.0126579	292.565	-0.0128096	120.612

28	-0.0134542	198.138	-0.00745515	224.032

30	-0.0122488	223.083	-0.0132139	164.793

32	-0.00880599	153.611	-0.00581583	142.263

34	-0.00983298	207.837	-0.0111492	171.547

36	-0.00464467	244.162	-0.0158811	86.2068

38	-0.00969641	223.324	-0.0135385	140.873

40	-0.0301302	217.174	-0.0209772	117.26

42	-0.0255377	193.883	-0.0297618	157.725

44	-0.0250327	179.299	-0.0339972	201.663

46	-0.0246626	188.164	-0.0359875	116.693

48	-0.0264415	156.336	-0.0349464	146.388

50	-0.00312588	182.413	-0.0456434	110.152

52	-0.0141953	155.883	-0.0368734	123.038

54	-0.0210814	136.332	-0.0443522	144.573

56	-0.0227929	140.306	-0.024799	124.428

58	-0.0170797	148.67	-0.0277333	108.61

60	-0.00858286	156.377	-0.0349559	121.152

62	-0.0237197	118.995	-0.0113021	137.982

64	-0.0110187	163.8	-0.0175534	126.363

66	-0.020512	142.085	0.00201995	168.345

68	-0.01212	145.82	0.00438204	156.011

70	-0.00292126	146.466	0.0112642	161.119

72	-0.0204813	177.022	0.00125493	154.315

74	-0.0160757	134.816	-0.0239676	158.054

76	-0.00180283	150.488	-0.0231992	135.787

78	-0.0213288	138.509	-0.0169182	146.92

80	-0.0242561	135.12	-0.019182	89.7661

82	-0.0237348	101.818	-0.0228216	147.751

84	-0.0317052	117.789	-0.0111073	109.578

86	-0.00536661	131.641	-0.0267317	110.692

88	-0.0199532	132.323	-0.0085995	134.977

90	-0.0313733	133.132	-0.00787488	111.038

92	-0.0174518	131.633	-0.00963312	118.899

94	-0.0145927	146.271	-0.00299284	139.534

96	-0.0274425	121.701	-0.0397024	143.05

98	-0.032083	144.776	0.0219044	116.759

100	-0.0216405	130.21	-0.0148686	120.117

102	-0.0186231	145.405	0.00135567	80.0207

104	-0.00936202	121.896	-0.0134774	128.932

106	-0.0104855	157.933	-0.0242492	77.6842

108	-0.0140969	128.16	-0.0209589	101.768

110	0.00451847	136.395	-0.0351255	83.5705

112	-0.0162753	135.653	-0.0206581	80.9809

114	0.00453692	128.793	-0.0325798	79.2233

116	-0.00198081	115.638	-0.0344994	88.7614

118	0.0267836	121.859	0.0131242	108.534

120	0.00644065	142.473	0.0094759	89.4206

122	0.0193178	107.148	0.00669978	109.884

124	0.00290263	109.297	-0.0118511	97.8936

126	0.00119215	106.163	0.00732023	100.488

128	0.0121707	112.846	0.00459905	104.929

130	0.00155805	90.1967	0.0161841	89.5353

132	0.019823	105.537	0.00648771	90.4615

134	0.0225649	99.1606	0.0112753	97.44

136	0.0331422	101.383	0.0177059	74.8045

138	0.039063	92.3046	0.0269103	77.1525

140	0.0330632	91.2816	0.0406257	76.9186

142	0.0180606	76.8616	0.0487356	89.6152

144	0.0186958	84.5022	0.0432072	63.4092

146	0.0160127	84.6958	0.0330962	78.1278

148	-0.00155454	68.6667	0.0180052	88.1536

150	0.0188503	78.2814	0.0142676	82.9712

152	-0.0113321	100.6	0.0118897	64.6804

154	-0.0137782	86.2947	0.00288131	108.634

156	-0.0224232	106.528	0.00661146	82.1014

158	-0.0264951	93.8757	0.00358092	60.6675

160	-0.0183834	80.4403	0.0140981	75.2181

162	-0.02509	83.6339	0.0206483	78.589

164	-0.0339277	80.8152	-0.0117826	73.4217

166	-0.0317699	85.3374	0.0110263	75.0748

168	-0.0343164	89.0026	0.0180981	65.1554

170	-0.034098	65.9836	0.0156588	69.1019

172	-0.028247	82.8223	0.0019337	63.0639

174	-0.00248737	85.1493	-0.0421197	44.5268

176	-0.00332277	87.2855	0.0306089	53.5683

178	-0.013464	89.3969	0.00360906	53.6109

180	-0.0112283	93.8893	0.0275218	53.8022

182	0.00580547	89.1143	-0.00277677	61.3918

184	-0.000525379	76.1828	-0.015407	58.8386

186	-0.0227383	79.1591	-0.00724756	68.7467

188	-0.0348277	80.4993	-0.0075587	60.5318

190	-0.012621	77.2724	-0.00970163	52.4639

192	-0.0589445	69.0256	0.0112189	55.9523

194	-0.0361475	61.6453	0.0344932	60.8424

196	-0.0415677	72.1357	0.0179099	59.0917

198	-0.0459199	72.0748	0.0454403	64.8128

200	0.00506224	84.2613	0.0110465	53.0398

202	-0.00657869	78.9463	0.0105573	56.2048

204	-0.00767336	82.0992	0.0476945	56.5336

206	-0.0165769	89.7519	0.028884	50.5412

208	-0.0156637	85.066	0.0388875	48.9107

210	0.013259	91.7788	0.0885812	47.4583

212	0.025287	79.9461	0.0552767	46.9203

214	0.00325617	93.1843	0.0681924	41.7591

216	0.00268814	73.6191	0.101132	68.4099

218	0.0177783	91.1359	0.0495309	47.6336

220	0.0331948	81.0889	0.075743	51.3418

222	0.00831815	91.1955	0.073472	54.7048

224	0.00273129	90.3417	0.0431982	44.0112

226	-0.015996	91.6669	0.0694438	60.7677

228	0.00951634	76.8755	0.0736538	56.9891

230	0.00387014	74.062	0.0411176	49.2803

232	0.0170044	83.1031	0.0833822	37.8029

234	0.00849631	95.8054	0.08454	49.6218

236	0.0165567	92.5931	0.0628131	45.7105

238	0.0126248	108.183	0.0949371	51.2547

240	0.00452802	81.8626	0.0923268	54.2288

242	0.00202827	91.335	0.0523017	47.0105

244	0.024723	94.7502	0.0662331	49.4608

246	0.0119335	83.3826	0.0787576	42.7629

248	0.0218641	91.3915	0.0425938	32.6762

250	0.0193782	84.0978	0.0667539	53.9982

252	0.027382	80.5997	0.0453309	41.4674

254	0.0152308	88.616	0.0442443	52.3507

256	0.0571276	67.1323	0.0469578	61.584

258	0.0211052	77.8355	0.0716098	56.9324

260	0.0226707	91.0244	0.0551613	51.2832

262	0.00803337	80.6792	0.0492609	75.1452

264	0.0223146	94.4576	0.0491642	64.4934

266	0.0100445	114.813	0.0544785	79.2847

