tick	obsLagLarvae	predLagLarvae	obsLagAdults	predLagAdults

4	0.0040916	-6.75922e+20	0.00352941	1.10842e+39

6	0.00419432	13756.1	0.00248197	-1463.14

8	-0.012584	-273.791	-0.00534231	2969.54

10	-0.0177134	148.563	-0.00427439	2067.94

12	-0.00620198	675.728	-0.00250646	699.529

14	-0.0366487	230.882	-0.00495943	577.075

16	-0.0323638	53.3948	-0.00485299	573.169

18	-0.0278754	270.908	-0.0148157	419.99

20	-0.0292826	340.369	-0.00151022	358.987

22	-0.0269192	413.255	0.0421505	187.449

24	-0.0127296	282.367	0.027956	224.284

26	-0.0221071	322.752	0.0302904	223.245

28	-0.0173667	327.621	0.0153626	312.797

30	-0.0296703	268.156	0.0278608	266.04

32	-0.0295303	246.054	0.0116827	340.464

34	-0.015486	274.973	0.0258584	234.138

36	-0.0397715	191.174	-0.0052299	320.363

38	-0.0344991	126.964	-0.00149218	230.392

40	-0.044902	233.368	0.0045535	171.869

42	-0.0559434	181.051	0.013322	226.074

44	-0.0469788	179.052	0.0232188	219.261

46	-0.0195272	376.047	0.0385412	156.066

48	-0.0451037	253.457	0.069755	213.768

50	-0.0247084	234.356	0.0360056	243.319

52	-0.0519305	261.772	0.0506165	263.829

54	-0.0324376	311.062	0.0339011	345.686

56	-0.0372635	462.474	0.0308282	329.072

58	-0.0438729	394.482	0.0124773	399.968

60	-0.0219377	244.525	0.00541091	265.402

62	-0.0279438	362.403	0.0199843	206.335

64	-0.0265562	222.636	-0.0117185	173.334

66	-0.0496171	213.869	-0.00700173	200.22

68	-0.0296074	209.886	-0.0443317	200.113

70	-0.0293016	196.47	-0.034745	145.259

72	-0.04748	204.036	-0.0203225	298.266

74	-0.00293207	383.244	-0.0398597	237.877

76	-0.0280575	339.833	-0.0172774	378.427

78	-0.0162589	371.786	-0.0534677	224.5

80	-0.0165479	433.011	-0.0421244	291.038

82	-0.0129702	388.675	-0.0764466	175.094

84	-0.0482881	286.629	-0.0611678	212.623

86	-0.0277374	266.65	-0.0579615	204.514

88	-0.0496118	259.768	-0.0758666	208.662

90	-0.0277454	206.036	-0.075907	222.08

92	-0.0217976	177.588	-0.0678328	228.214

94	-0.0348064	191.51	-0.0654812	286.986

96	-0.0412492	176.372	-0.0711519	370.0

98	-0.0412959	185.757	-0.0875183	267.449

100	-0.0811431	119.59	-0.0507265	266.712

102	-0.0298698	313.229	-0.0688399	324.559

104	-0.0411974	209.486	-0.0535679	464.667

106	-0.0236862	157.347	-0.0607318	202.922

108	-0.0533728	168.68	-0.0490574	306.195

110	-0.0499853	142.458	-0.0572518	211.574

112	-0.026615	170.387	-0.0483646	178.209

114	-0.00738153	211.467	-0.0844439	222.655

116	-0.00888437	191.525	-0.0498223	193.721

118	-0.0154291	211.344	-0.0705716	207.528

120	0.00111391	259.457	-0.0714632	332.245

122	0.0106699	260.374	-0.0549365	275.156

124	0.00224619	270.587	-0.0585127	297.377

126	-0.0164273	230.001	-0.0721336	271.114

128	0.0245702	169.954	-0.0508563	306.36

130	-0.0312302	211.456	-0.0621208	265.212

132	0.0128045	225.161	-0.0514564	267.2

134	-0.0372477	176.892	-0.038441	288.288

136	-0.0138359	208.613	-0.00828131	298.725

138	-0.0400799	180.437	0.00129838	317.527

140	-0.0408863	171.087	0.00292271	276.48

