tick	obsLagLarvae	predLagLarvae	obsLagAdults	predLagAdults

4	-0.000287322	-6.32352e+20	0.00352941	5.9266e+38

6	0.0213954	127.615	-0.00153932	1730.95

8	0.00673876	803.574	0.000108115	1798.59

10	0.00678394	1279.4	0.0136503	779.353

12	0.0185387	414.57	0.0134384	1135.2

14	0.0294478	209.156	0.00871356	954.864

16	0.0402127	16.2414	0.0160127	746.165

18	0.0207711	159.514	0.0203029	211.619

20	0.0120599	191.275	0.0182605	287.199

22	0.028003	263.608	0.000604443	210.513

24	0.0290306	194.497	0.00335781	223.756

26	0.047726	101.932	-0.00639667	420.413

28	0.0281961	125.513	-0.00325969	582.734

30	-0.000670106	140.116	0.00628149	226.503

32	0.0381573	22.5567	-0.00025336	450.435

34	0.0167105	150.939	0.00170604	225.79

36	0.0076223	132.278	0.00155218	338.138

38	0.0261156	238.758	-0.0153022	199.791

40	5.92406e-05	282.123	0.0070145	287.978

42	0.0134906	275.731	0.00601942	257.194

44	0.00282653	201.706	-0.00429204	196.211

46	0.00475644	300.381	-0.0197937	245.677

48	-0.0162699	132.516	-0.0148128	201.654

50	0.0254415	173.125	-0.0127655	265.566

52	0.00823984	141.894	-0.00891067	318.146

54	-0.0294398	162.474	0.00578327	175.249

56	-0.0317598	208.644	-0.00634063	218.555

58	-0.0146893	136.841	-0.0215853	476.321

60	-0.0088139	155.241	-0.0353761	361.398

62	-0.00368084	292.182	-0.0342897	222.422

64	-0.00433678	142.379	-0.0352846	258.659

66	0.00366593	334.692	-0.038639	272.652

68	-0.00223349	186.07	-0.0128779	318.438

70	0.0155145	301.442	-0.0209512	249.868

72	0.00656515	195.693	-0.00399367	361.552

74	0.0198527	237.469	-0.00513063	293.505

76	0.00728159	356.563	-0.0106131	184.962

78	0.00545069	266.955	-0.025765	167.697

80	-0.00460848	132.463	-0.0042435	214.098

82	-0.00976562	305.056	-0.0180814	139.845

84	-0.0197055	259.651	-0.0238258	191.504

86	-0.00999595	257.321	-0.0315341	197.325

88	-0.0376861	34.8185	-0.0181608	449.746

90	-0.0311516	30.6533	-0.0155336	363.604

92	-0.0314847	70.1391	-0.0289618	253.891

94	-0.039313	86.2217	-0.00852218	151.192

96	-0.0344249	58.5409	-0.00666354	226.491

98	-0.0348402	82.1027	-0.0206855	181.02

100	-0.0334061	77.9626	-0.00872909	172.018

102	-0.0248876	96.2726	-0.0176744	214.628

104	0.00601087	296.557	0.00395771	155.511

106	-0.0146839	113.903	0.00683758	286.188

108	-0.0100231	96.3755	0.0168946	249.692

110	-0.0293803	106.684	0.0237062	306.925

112	-0.0641472	81.9919	0.0200753	221.297

114	-0.0614601	88.2369	-0.0079296	282.767

116	-0.0564443	27.1439	0.0174655	404.064

118	-0.0351385	152.072	0.00136763	228.678

120	-0.0406352	119.305	0.0131892	302.748

122	-0.0437841	122.022	-0.000362435	267.979

124	-0.0409866	183.907	0.0208827	364.282

126	-0.0288257	227.721	0.0229766	335.977

128	-0.0322651	259.416	0.0281385	385.013

130	-0.0317865	95.4992	0.0232513	500.772

132	-0.0447888	227.737	0.021231	570.991

134	-0.0120115	306.773	0.0147574	550.889

136	-0.0118709	218.321	0.00766806	596.391

138	-0.0183431	97.7761	0.0147998	482.609

140	0.00710997	245.954	-0.00821592	342.794

142	0.0231835	392.855	0.00339167	291.169

144	-0.0208604	126.877	0.0147746	383.743

146	0.0236355	195.969	0.0132618	369.477

148	0.00638416	108.706	0.0128843	693.577

150	0.00307377	583.561	0.0286524	373.383

152	0.0150644	135.528	0.00400122	616.876

154	0.0170379	163.121	0.0318322	554.259

156	-0.00248864	483.842	0.01313	396.454

158	0.040047	195.011	0.0292882	609.974

160	0.000931258	174.322	0.0179285	503.809

162	-0.0133025	171.607	0.0128687	394.568

164	-0.019913	88.5192	0.0114204	391.666

166	-0.0271601	76.7837	0.00819813	267.089

168	-0.0168777	95.0024	0.00658844	288.983

170	-0.0324717	147.149	0.00684016	282.32

172	-0.0407421	181.343	0.016188	343.658

174	-0.0351394	153.418	0.0238476	321.603

176	-0.0415349	203.587	0.016658	407.274

178	-0.0437729	245.837	0.00720575	327.143

180	-0.0416572	335.328	0.00717512	388.768

182	-0.0328417	179.744	0.0117786	273.597

184	-0.0591036	189.746	0.00667131	281.203

186	-0.0622308	134.335	0.0402676	230.487

188	-0.0280407	178.199	0.0243408	173.337

190	-0.0179074	86.5204	0.0142083	170.666

192	-0.0415407	136.122	0.0326693	169.48

194	-0.0402786	147.221	0.0147929	116.371

196	-0.0374751	141.368	0.000759325	215.313

198	-0.0342401	130.609	0.0154847	186.367

200	-0.00268092	90.5079	0.00478352	153.3

202	-0.0087789	149.192	0.0233957	170.118

204	-0.00223138	137.198	0.0207223	219.314

206	-0.0286274	297.951	0.0108344	190.308

208	-0.0263304	136.027	0.0236735	220.151

210	-0.033248	224.166	-0.00320119	86.0945

212	-0.0122067	134.192	-0.0152413	143.215

214	-0.0110689	160.479	-0.0226191	131.243

216	-0.013794	98.7477	0.013573	143.42

218	-0.0373578	144.259	0.00336618	151.968

220	-0.0405021	120.332	0.021227	192.382

222	-0.0104913	119.859	0.00536764	141.919

224	-0.0166195	75.0204	0.00564582	161.79

226	-0.0359895	114.604	0.0208913	126.674

228	-0.0232803	109.272	0.015008	104.679

230	-0.0253024	179.752	-0.0101531	107.342

232	-0.0336923	109.738	-0.00280781	155.318

234	-0.0688401	91.2193	0.0137349	156.736

236	-0.0264521	114.412	-0.0100655	131.252

238	-0.017443	132.631	0.0103157	177.751

240	-0.0248397	110.378	0.0116669	220.002

242	-0.0182421	110.605	0.0157218	182.493

244	-0.0360183	117.532	0.0265598	155.709

246	-0.0429281	108.883	0.0074793	135.675

248	-0.0379477	102.635	0.00414945	124.195

